review,sentiment
"This movie tries hard, but completely lacks the fun of the 1960s TV series, that I am sure people do remember with fondness. Although I am 17, I watched some of the series on YouTube a long time ago and it was enjoyable and fun. Sadly, this movie does little justice to the series.<br /><br />The special effects are rather substandard, and this wasn't helped by the flat camera-work. The script also was dull and lacked any sense of wonder and humour. Other films with under-par scripting are Home Alone 4, Cat in the Hat, Thomas and the Magic Railroad and Addams Family Reunion.<br /><br />Now I will say I liked the idea of the story, but unfortunately it was badly executed and ran out of steam far too early, and I am honestly not sure for this reason this is something for the family to enjoy. And I was annoyed by the talking suit, despite spirited voice work from Wayne Knight.<br /><br />But the thing that angered me most about this movie was that it wasted the talents of Christopher Lloyd, Jeff Daniels and Daryl Hannah, all very talented actors. Jeff Daniels has pulled off some good performances before, but he didn't seem to have a clue what he was supposed to be doing, and Elizabeth Hurley's character sadly came across as useless. Daryl Hannah is a lovely actress and generally ignored, and I liked the idea of her being the love interest, but sadly you see very little of her,(not to mention the Monster attack is likely to scare children than enthrall them) likewise with Wallace Shawn as some kind of government operative. Christopher Lloyd acquits himself better, and as an actor I like Lloyd a lot(he was in two of my favourite films Clue and Who Framed Roger Rabbit, and I am fond of Back To The Future) but he was given little to work with, and had a tendency to overact quite wildly.<br /><br />Overall, as much I wanted to like this movie, I was left unimpressed. Instead of being fun, it came across as pointless, and that is a shame because it had a lot of potential, with some talented actors and a good idea, but wasted with poor execution. 1/10 Bethany Cox",0
"First off, I didn't know what to expect when I started the video.<br /><br />Anytime someone brings back a cult type movie genre and adapts it into the present, something gets inexplicably lost in the translation.<br /><br />That's not the case here. This movie just starts off on the right track. It's part familiar territory but manages to take it over the top as well. Crockzilla scene anyone? That has to be seen, and just try and keep a straight face. This movie takes some of the old fun cult movie classics and manages to blend it seamlessly into a modern production. It's good to see someone is filling the need in this market. Very well done.<br /><br />",1
"Personally, I find the movie to be quite a good watch. It outlines the actual situation of triads in Hong Kong and gives the viewer a glimpse of how triads are organized.<br /><br />Not only that, it also shows the viewer how the Hong Kong police control the triad situation and why the police don't just go all out and wipe out triads.<br /><br />Overall, the movie is rather violent due to the gangland methods of killings & torture. Nevertheless, the movie stays true to the real world, thus the violence on screen is just a reflection of what really happens.<br /><br />I'd recommend this movie to any Triad/Mafia movie fan. Another good watch would be Dragon Squad. That movie has more guns than this, as in this movie there's more knives than guns (in fact I don't remember seeing a single gun).",1
"Carrie Fisher has stated on more than one occasion that she made this movie during a period of her life when she had a heavy cocaine problem, and she doesn't remember very much of it. That would explain why she made this film, but it doesn't explain why anyone else in the cast or crew did; I can't believe that EVERYBODY had a coke problem. This has to be one of the absolute worst movies ever made, and that's saying something. The blame can't be laid at the feet of ""director"" Tim Kincaid or ""writer"" Buddy Giovinazzo, as it is obvious that this picture wasn't written or directed by anyone. Apparently it just spontaneously came together, as there is little evidence of coherency, consistency, design, plot, sense, intelligence or anything else. What is really amazing is that there were some actual professionals who were involved in this glop. Co-star Robert Joy has done good work in other films, and composer Jimmie Haskell and cinematographer Arthur Marks are both industry veterans, Marks also having been a director, and not a bad one. Why they got involved in this steaming pile of offal is beyond comprehension. Tim Kincaid, the alleged ""director"", has made quite a few low-rent sci-fi and horror films, and, having seen most of them, I can tell you that not a one of them is any good. This one, though, is by far the worst thing he's ever done, and that is a major accomplishment on his part. Everything, absolutely EVERYTHING, about this movie is 12th-rate--at best. The cinematography is terrible, the acting is laughable, the ""special effects"" make ""Plan 9 From Outer Space"" look like ""Spider-Man"", the story is trite, derivative and stupid. Don't waste your time even looking at the video box cover, let alone renting it. A complete, utter, annoying, total dud.",0
"Very smart, sometimes shocking, I just love it. It shoved one more side of David's brilliant talent. He impressed me greatly! David is the best. The movie captivates your attention for every second.",1
This is supposed to be well-researched and based on fact. How come therefore that it's so packed with McGovernisms. Did the people of Derry live in some kind of bizarre Philip K. Dick world in which reality was uncannily like Cracker/ Liam/ Priest? Or is McGovern an idle hack who just keeps repeating hims,0
"This is a very moving picture about 3 forty-something best friends in a small england town. One finds a passionate loves and a new beginning with a younger piano instructor, When tragedy strikes and hearts are changed forever. Definitely a film to have a box of tissues with you! A powerful piece of work. This is definitely one of my favorite films of all time.<br /><br />*SPOILER!!! SPOILER ALERT!! SPOILER!!*<br /><br />The main character is taken by her young, handsome piano instructor and a passionate romance blossoms. Her two jealous ""friends"" play an immature prank which quickly leads to tragedy. She loses her love and her friends in one foul swoop. In the end a unexpected surprise pulls them back together.(in my opinion her forgiveness is not warranted)",1
"Probably one of the most boriest slasher movies ever, badly acted and badly written.<br /><br />THE PLOT Five students staying behind during the holidays closing down a dorm, but somebody has designs on them and starts killing them off one by one, the main suspect is the creepy groundskeeper John Hemmitt played by Woody Roll, or could it be one of the five characters.<br /><br />ACTING Not that bad not that great either apart from Daphne Zungia who dies way too quickly and should have been the main heroine, and the rest well quite dull although Laura Lapinski the main heroine sometimes has her charm and you do feel sorry for her in the end.<br /><br />THE KILLS Can't really see why they banned this, the kills look fake mostly, one guy has his hand sliced in half in the beginning which looks really fake, but the others are quite nasty like one girl gets her head run over by a car, one girl gets boiled alive and another gets burned alive.<br /><br />OVERALL Not really a great slasher could have been a lot better",0
"I bought Unhinged because I got suckered by the gory picture on the cover. If you want to see all the good parts of the movie just look on the back of the box. All the kills are shown and I can honestly tell you that they look much better in the still frames than they do in the movie.<br /><br />Having said that, let's look at the plot. A group of college girls driving to a rock concert (by way of the deep, dark woods in one of the longest driving sequences ever captured on celluloid) slide off the road. No visible damage is done to the car but apparently it was enough to put one of the characters in a comatose state for the rest of the film (or perhaps she read the script and was already in a coma before filming began).<br /><br />The two remaining girls wake up in a big, isolated house. The house, by the way, is fabulous and manages more drama just by its presence than any of the actors in the film. For some reason, though, this house has no roads going to it. The only way you can get to the main road is by hiking five miles through the woods. The girls spend the rest of Unhinged sitting around listening to weird conversations between an old rich bitch (who looks like George Washington in drag) and her equally homely, sexually repressed daughter. The girls apparently were in no hurry to get back from that concert anyway being that they packed more clothes than the cast of Gilligan's Island for that three hour tour.<br /><br />By the time we, the viewers, get to the kill scenes, we no longer care. We wish that someone would kill us just to end our suffering . Unhinged finally wraps up with a quite shocking ending that deserved to be in a much better film. It's almost as though the ending, the one good idea in the film, was written first and then the writers tried to make a movie leading up to it.<br /><br />Unhinged is ultimately a boring film with bad acting, inept directing, and a plot with more holes than a leper in a porno film (sorry. I'm not sure where that came from). You will get an idea of how bad this movie is during the opening credits when, for some reason that is never explained, the screen goes black for about two minutes while the characters talk about nothing worth remembering. Don't waste your time. You'll just feel Unhinged and want your time and money back.",0
"I rated Basic instinct 2 high, yet that movie got less than a 4 rating. This film only got a 4 from me, but it has 7.3 from over 600 people. I don't see a reason why they like this film so much.<br /><br />This film is boring, because it hardly ever leaves those rooms in that broken big house. And it only has a total of 5 people in this film. It is almost two hours long which is totally unnecessary. Many of dialogues are slow and meaningless. The film tone is also dark blue which is depressing to watch. The film can just be shorten to a few sentences.<br /><br />This film reminds me of ""Three times"" directed by Hou Hsiao hsien, that one is equally boring, the dialogues are also equally boring. It also has a high rating! I had to stop watching that one after the first story finished.<br /><br />This film lacks of passion or excitement.",0
